horizon_h,gate_pos,gate_neg,rmse_persistence,rmse_stage1,rmse_combined,skill_vs_persist_%,skill_vs_stage1_%,r2_persistence,r2_stage1,r2_combined,delta_corr_stage1,delta_corr_sw_isolated,delta_corr_combined
1,0.6,0.33093926010895236,0.13645959215285652,0.127875854995477,0.12581761160595506,7.7986313596634105,1.6095637363243709,0.920345489765496,0.930051350375877,0.9322849650080434,0.3522497397993549,0.1842939951432232,0.3893878119003929
2,0.6,0.6,0.22721246385880917,0.21089821810026588,0.20496213550436324,9.792741109604087,2.814667022497308,0.7833427326136883,0.8133384878720327,0.8236984081317397,0.38009022481442595,0.2500947890073534,0.44261277671647237
3,0.6,0.6,0.2861609629186979,0.26395101824000083,0.2564148113604231,10.394901965271231,2.8551535545603968,0.6476352775598748,0.7002091812637665,0.717083771166462,0.4000567765676565,0.2765953278868325,0.4689175611998028
4,0.6,0.6,0.3223007036074527,0.2900053692549493,0.28263873708049436,12.30588890530776,2.540170960758592,0.5224101259724663,0.6133262588940191,0.6327211070491167,0.4643482478166463,0.30089700650532947,0.516614268787557
5,0.6,0.6,0.3556714641713069,0.31304330892842547,0.30433636858493973,14.43329048226426,2.781385225351196,0.3804927627208652,0.5200928838585381,0.5464177539809438,0.5136609778669449,0.33537390115883237,0.561707117008294
6,0.6,0.6,0.3865805657898283,0.33492182675566756,0.31993427464767166,17.239948678224593,4.474940392263427,0.22812359197239174,0.42063182557588563,0.47132439641900126,0.5431614525481603,0.383050618410085,0.6053364787424794
7,0.6,0.6,0.42088295240915524,0.3643160256358946,0.3389945620775674,19.456333373175273,6.950411669135315,0.0693360328283339,0.3026885764484506,0.396252018022893,0.5436311676875681,0.426467897524882,0.6311090539078255
8,0.6,0.6,0.4535802018702281,0.3956187626077149,0.3645074436143024,19.637708587953306,7.863964486502795,-0.0678591702421456,0.1876193656169226,0.3103660955458424,0.5286643764974613,0.4390660199951271,0.6322389521387045
